Osys,Date,OsysTime,Networking,Date,NetTime
Assignment 1,1/14/2024 23:30,45305.97917,Assignment 1,1/19/2024 16:30,45310.6875
Assignment 2,1/21/2024 23:30,45312.97917,Assignment 2,2/2/2024 16:30,45324.6875
Assignment 4,2/18/2024 23:30,45340.97917,Assignment 4,3/8/2024 16:30,45359.6875
Assignment 5,3/3/2024 23:30,45354.97917,Assignment 5,3/29/2024 16:30,45380.6875
Assignment 6,3/24/2024 23:30,45375.97917,Assignment 6,4/12/2024 16:30,45394.6875
Assignment 7,3/31/2024 23:30,45382.97917,Quiz 1,1/26/2024 17:00,45317.70833
FINAL PROJECT,4/17/2024 23:30,45399.97917,Quiz 2,2/2/2024 16:30,45324.6875
Quiz 1,1/14/2024 23:30,45305.97917,Quiz 3,2/16/2024 16:30,45338.6875
Quiz 2,1/21/2024 23:30,45312.97917,Quiz 4,3/8/2024 16:30,45359.6875
Quiz 3,1/28/2024 23:30,45319.97917,Quiz 5,3/29/2024 16:30,45380.6875
Quiz 4,2/4/2024 23:30,45326.97917,Quiz 6,4/5/2024 16:30,45387.6875
Quiz 5,2/11/2024 12:30,45333.52083,Midterm,2/23/2024 16:30,45345.6875
Quiz 6,2/18/2024 23:30,45340.98,Exam,4/12/2024 16:30,45394.6875
Quiz 7,2/25/2024 23:30,45347.98,,,
Quiz 8,3/3/2024 23:30,45354.97917,,,
Quiz 9,4/7/2024 23:30,45389.97917,,,
Quiz 10,4/14/2024 23:30,45396.97917,,,
